CODE_UIC;CODE UIC8;GARE;Ligne;Handicap Moteur;Handicap Visuel;Handicap Auditif;Handicap Mental
393215;87393215;VIROFLAY RIVE GAUCHE;LIGNE N;3.0;2.0;2.0;2.0
382341;87382341;SEVRES VILLE D'AVRAY;LIGNE L;3.0;2.0;2.0;2.0
271122;87271122;EPINAY VILLETANEUSE;LIGNE T11;1.0;1.0;1.0;1.0
381806;87381806;TRIEL SUR SEINE;LIGNE J;3.0;2.0;2.0;2.0
682450;87682450;CHAMPAGNE SUR SEINE;LIGNE R;3.0;3.0;3.0;3.0
382499;87382499;CERGY SAINT-CHRISTOPHE;LIGNE A;2.0;2.0;2.0;2.0
276170;87276170;SAINT-GRATIEN;LIGNE C;3.0;2.0;2.0;2.0
382218;87382218;DEFENSE (LA);LIGNE L;2.0;2.0;2.0;2.0
682153;87682153;LIEUSAINT-MOISSY;LIGNE D;3.0;2.0;2.0;2.0
113472;87113472;RAINCY VILLEMOMBLE MONTFERMEIL (LE);LIGNE E;3.0;2.0;2.0;2.0
276089;87276089;MONTIGNY BEAUCHAMP;LIGNE H;3.0;2.0;2.0;2.0
271015;87271015;SAINT-DENIS;LIGNE D;3.0;2.0;2.0;2.0
381566;87381566;GARGENVILLE;LIGNE J;3.0;2.0;2.0;2.0
276139;87276139;PONTOISE;LIGNE H;3.0;2.0;2.0;2.0
276055;87276055;ERMONT EAUBONNE;LIGNE C;3.0;2.0;2.0;2.0
386763;87386763;EPONE MEZIERES;LIGNE J;3.0;2.0;2.0;2.0
393512;87393512;JOUY-EN-JOSAS;LIGNE C;3.0;2.0;2.0;2.0
545152;87545152;CHAMARANDE;LIGNE C;3.0;3.0;3.0;3.0
381889;87381889;HERBLAY;LIGNE J;3.0;2.0;2.0;2.0
116509;87116509;CHANGIS SAINT-JEAN;LIGNE P;3.0;3.0;3.0;3.0
682500;87682500;VOSVES;LIGNE D;3.0;3.0;3.0;3.0
543090;87543090;ANGERVILLE;LIGNE C;3.0;2.0;2.0;2.0
545525;87545525;DOURDAN;LIGNE C;3.0;2.0;2.0;2.0
382887;87382887;VIROFLAY RIVE DROITE;LIGNE L;3.0;2.0;2.0;2.0
381822;87381822;THUN LE PARADIS;LIGNE J;3.0;3.0;3.0;3.0
116491;87116491;TRILPORT;LIGNE P;3.0;2.0;2.0;2.0
393157;87393157;VERSAILLES CHÂTEAU RIVE GAUCHE;LIGNE C;2.0;2.0;2.0;2.0
546291;87546291;RUNGIS-LA-FRATERNELLE;LIGNE C;3.0;3.0;3.0;3.0
271593;87271593;CRÉPY EN-VALLOIS;LIGNE K;0.0;2.0;2.0;2.0
682252;87682252;THOMERY;LIGNE R;3.0;3.0;3.0;3.0
381426;87381426;SAINT-OUEN-L'AUMÔNE-quartier eglise;LIGNE J;3.0;2.0;2.0;2.0
393256;87393256;VERRIERE (LA);LIGNE N;3.0;2.0;2.0;2.0
381731;87381731;NEZEL AULNAY;LIGNE N;3.0;3.0;3.0;3.0
415604;87415604;VERNON;LIGNE J;0.0;0.0;0.0;0.0
328328;87328328;BIBLIOTHEQUE FRANCOIS MITTERAND;LIGNE C;2.0;2.0;2.0;2.0
271205;87271205;GENNEVILLIERS;LIGNE C;3.0;2.0;2.0;2.0
545228;87545228;EPINAY-SUR-SEINE;LIGNE C;3.0;2.0;2.0;2.0
684001;87684001;MONTARGIS;LIGNE R;2.0;2.0;2.0;2.0
116566;87116566;NOGENT L'ARTAUD CHARLY;LIGNE P;0.0;0.0;0.0;0.0
654798;87654798;ROSA PARKS;LIGNE E;2.0;2.0;2.0;2.0
547315;87547315;SAINT MICHEL NOTRE DAME;LIGNE C;3.0;2.0;2.0;2.0
393009;87393009;VERSAILLES CHANTIERS;LIGNE C;3.0;2.0;2.0;2.0
381418;87381418;ERAGNY NEUVILLE;LIGNE J;3.0;2.0;2.0;2.0
271478;87271478;BLANC-MESNIL (LE);LIGNE B;2.0;2.0;2.0;2.0
393462;87393462;HOUDAN;LIGNE N;3.0;2.0;2.0;2.0
271437;87271437;VERT-GALANT;LIGNE B;2.0;2.0;2.0;2.0
681338;87681338;RIS ORANGIS;LIGNE D;3.0;2.0;2.0;2.0
113522;87113522;CHENAY GAGNY (LE);LIGNE E;2.0;2.0;2.0;2.0
383281;87383281;MASSY-VERRIERES;LIGNE C;3.0;3.0;3.0;3.0
381020;87381020;NEUILLY - PORTE MAILLOT;LIGNE C;3.0;2.0;2.0;2.0
682443;87682443;VULAINES SUR SEINE SAMOREAU;LIGNE R;3.0;3.0;3.0;3.0
381459;87381459;CONFLANS FIN D'OISE;LIGNE J;2.0;2.0;2.0;2.0
276196;87276196;GARGES SARCELLES;LIGNE D;3.0;2.0;2.0;2.0
684118;87684118;BOURRON MARLOTTE GREZ;LIGNE R;3.0;3.0;3.0;3.0
381558;87381558;JUZIERS;LIGNE J;3.0;2.0;2.0;2.0
543207;87543207;AVENUE DU PRESIDENT KENNEDY;LIGNE C;3.0;2.0;2.0;2.0
393009;87393009;VERSAILLES CHANTIERS;LIGNE N;3.0;2.0;2.0;2.0
431791;87431791;ROUGEMONT CHANTELOUP;LIGNE T4;1.0;1.0;1.0;1.0
113894;87113894;FREINVILLE SEVRAN;LIGNE T4;1.0;1.0;1.0;1.0
382812;87382812;MAREIL MARLY;LIGNE L;1.0;1.0;1.0;1.0
681395;87681395;BRAS DE FER (LE) (EVRY GENOPOLE);LIGNE D;3.0;2.0;2.0;2.0
545350;87545350;SAINT MARTIN D'ETAMPES;LIGNE C;3.0;3.0;3.0;3.0
393223;87393223;SAINT-CYR;LIGNE C;3.0;2.0;2.0;2.0
